Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:19,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:19,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44180
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44180,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44192
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44192,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44204
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44204,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:20,140.82.121.4,172.22.143.39,443,44220
2024-09-13 09:59:20,172.22.143.39,140.82.121.4,44220,443
2024-09-13 09:59:22,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:22,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:22,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:59:23,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
2024-09-13 09:59:23,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:23,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:23,172.22.143.39,52.168.117.175,37274,443
2024-09-13 09:59:23,52.168.117.175,172.22.143.39,443,37274
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 10:00:31,172.22.143.39,52.168.117.175,37274,443
2024-09-13 10:00:31,172.22.143.39,52.168.117.175,37274,443
2024-09-13 10:00:31,52.168.117.175,172.22.143.39,443,37274
2024-09-13 10:00:31,52.168.117.175,172.22.143.39,443,37274
2024-09-13 10:00:31,172.22.143.39,52.168.117.175,37274,443
2024-09-13 10:00:31,52.168.117.175,172.22.143.39,443,37274
2024-09-13 10:00:31,172.22.143.39,52.168.117.175,37274,443
2024-09-13 10:00:31,172.22.143.39,52.168.117.175,37274,443
2024-09-13 10:00:31,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,52.168.117.175,172.22.143.39,443,37274
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
2024-09-13 10:00:32,20.42.72.131,172.22.143.39,443,56118
2024-09-13 10:00:32,172.22.143.39,20.42.72.131,56118,443
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Dettagli
2024-09-13 10:02:48,172.22.143.39,52.168.117.175,37274,443,
2024-09-13 10:02:48,172.22.143.39,52.168.117.175,37274,443,
2024-09-13 10:02:48,52.168.117.175,172.22.143.39,443,37274,
2024-09-13 10:02:48,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:48,52.168.117.175,172.22.143.39,443,37274,
2024-09-13 10:02:48,172.22.143.39,52.168.117.175,37274,443,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,52.168.117.175,172.22.143.39,443,37274,
